1	하나
civilization	문명
clap, applause	박수
class, grade	급
classic	클래식
classification	구분
class, lesson	수업
classroom	교실
(class) subject	과목
clean	깨끗하다
clear, clean	맑다
clearly	깨끗이
clearly, explicitly	분명히
clerk	점원
click	클릭
client, customer	고객
climate	기후
climb	오르다
clock	시계
close	닫다
close	가깝다
close ~ (eyes)	감다
close, familiar	친하다
closet	옷장
clothing	의류
clothing, costume	의상
clothing, food, and housing	의식주
clothing store	옷가게
cloud	구름
cloudy	흐리다
club	동호회
club, group	동아리
coal	석탄
coat	코트
coffee	커피
coffee shop	커피숍
coin	동전
coincidentally	우연히
coincidentally	어쩌다가
Coke	콜라
cold	감기
cold	춥다
cold	추위
cold	차갑다
cold medicine	감기약
cold noodle	냉면
cold water	찬물
colleague	동료
collect, gather	모으다
collection	수집
college student	대학생
collision	충돌
color	색
color	색깔
color	색상
column, blank	칸
come	오다
come back, come home	돌아오다
comedian	코미디언
come down	내려오다
comedy	코미디
come in, enter	들어오다
come out, appear	나오다
come to visit	찾아오다
come up	올라오다
come with, follow	따라오다
comfortable, easy, convenient	편하다
comic book, cartoon	만화
commemoration	기념
commerce	상업
commission, fee, charge	수수료
common	공통
common knowledge, common sense	상식
commonly, often	흔히
common point	공통점
communication	연락
communication	통신
communication	의사소통
community life	공동생활
commuting	출퇴근
company	회사
company, corporation	기업
comparison	비교
compassion, understanding	이해심
competition	경쟁
competition, game	경기
competition, match	시합
competition, tournament	대회
competitiveness	경쟁력
complaints	불평
completely	완전히
completion	완성
completion ceremony	수료식
complexion	안색
complicated, crowded	복잡하다
compliment	칭찬
composition	구성
composition	작곡
comprehension, understanding	이해력
computer, PC	컴퓨터
computer room	전산실
computer room	컴퓨터실
concentration	집중
concentration	집중력
concert	연주회
concert	콘서트
conclusion	결론
conclusion	마무리
condiments, seasoning, spice	양념
conditions	조건
conductor	지휘자
conference	회의
conference hall	회의장
confession	고백
confidence	자신감
confirm, check	확인하다
conflict	갈등
confusion, mess, disorder	혼잡
congratulations	축하합니다
connection	연결
consecutive holidays	연휴
consideration	배려
consolation, comfort	위로
consonant	자음
constipation	변비
construction	건설
construction	공사
consultant	상담자
consultation, counseling	상담
consultation, discussion	의논
consumer	소비자
consumption	소비
contact information	연락처
content	내용
content (of a container)	내용물
continue	계속
continuity	연속
contract	계약
control, regulate (illegal action)	단속
convenience	편리
convenience store	편의점
conversation, dialogue	대화
cooked rice	쌀밥
cooking	조리
cooking, cuisine	요리
cooking oil	식용유
cool, nice	멋있다
cool, refresh	시원하다
copy	복사
copy machine	복사기
corner	코너
corporation	주식회사
correct answer	정답
corridor, hallway	복도
cosmetics	화장품
cost	비용
cost of living, living stipend	생활비
cough	기침
counseling room	상담실
counselor	상담원
countermeasures	대책
country	나라
countryside	시골
couple	연인
couple	커플
couple, husband and wife, married couple	부부
courage	용기
court of law	법원
cousin	사촌
cover	덮다
crack, gap	틈
crane	학
credit, trust	신용
crime	범죄
criminal, offender	범인
crops	농작물
cross (a road)	건너가다
cross over	건너다
crosswalk	횡단보도
cruise ship	유람선
crush, one side love	짝사랑
cry	울다
crybaby	울보
crying, tear	울음
cucumber	오이
cultivate, grow	기르다
cultural heritage	문화유산
cultural life	문화생활
culture	문화
cup	컵
curiosity	궁금증
curiosity	호기심
currency exchange	환전
curry	카레
curtain	커튼
customer	손님
cut	자르다
cute	귀엽다
cut, shave	깎다
cutting line/que	새치기
cyber	사이버
dad	아빠
daily life	일상
daily necessities	생필품
damage	피해
dance	춤
dance	무용
dance	추다
dance	댄스
dance	춤추다
dangerous	위험하다
dark	어둡다
date	날짜
date, dating	데이트
daughter	딸
daughter-in-law	며느리
dawn, late at night, early morning	새벽
day	날
day before yesterday	그저께
day by day	날로
day by day	나날이
day by day	하루하루
day, noon, during the day	낮
day of the week	요일
deadline, due date	마감일
death	사망
death	죽음
debt	빚
December	십이월
decide	결정하다
decision	결정
decision	결심
deeply	푹
deer	사슴
defective product, misconduct	불량
definitely	틀림없이
definitely, absolutely	절대로
degree	정도
delay, postponement, smoke, acting	연기
delicious	맛있다
delivery	배달
delivery	택배
delivery, conveyance	전달
delivery fee	택배비
dentist, dentistry	치과
depart	출발하다
department	부서
department (at university)	학과
department store	백화점
depends on	나름
deposit	보증금
deposit, payment on account	입금
depression	우울증
depth	깊이
dermatology	피부과
desert	사막
design	디자인
designer	디자이너
desk	책상
dessert	후식
destination	목적지
detergent	세제
developed country	선진국
development	발전
development	개발
development	발달
devoted daughter	효녀
dialect	사투리
diary	일기
diary	일기장
dictionary	사전
die	죽다
diet	식생활
diet	다이어트
difference	차이
differences	차이점
different	다르다
difficult	어렵다
difficulty	곤란
difficulty, hardship	어려움
digestion	소화
digital	디지털
diligent	성실
diligent	부지런하다
dinner	석식
dinner	저녁식사
dinner, evening, night	저녁
diplomat	외교관
dip, pickle	담그다
direction	방향
directly, direct	직접
director	부장
director	감독
dirty	더럽다
disability	장애
disabled people	장애인
disadvantage, shortcoming, drawback	단점
disappearance, missing	실종
disappointment	실망
disaster	재해
disc, hernia	디스크
discount store	할인점
discovery	발견
discussion	토론
disease	질병
disease	질환
dislike, hate	싫어하다
display board	표지판
disposable product	일회용품
disregard, neglect	무시
dissatisfaction	불만
distinction	구별
division	과
divorce	이혼
doctor	의사
doctoral degree, Ph.D.	박사
doctor of traditional Korean medicine	한의사
document	서류
documents	문서
dog, ~ piece(s)	개
doll	인형
dollar	달러
domestic	국내
domestic flights	국내선
donation	기부
Dongdaemun market	동대문시장
do not know	모르다
doodle	낙서
door, gate	문
door, gate	대문
dormitory	기숙사
do, say	하다
doubt	의심
do well, good at	잘하다
down payment	계약금
downtown, city, stream	시내
dragon	용
dragonfly	잠자리
drama	드라마
draw	그리다
drawer	서랍
drawing lots	추첨
drawing, picture	그림
dream	꿈
dream	꾸다
dream	드림
dress, clothes	옷
dress, clothing	옷차림
dressing room, fitting room	탈의실
drink	마시다
drinking	음주
drinking party	술자리
drink, soft drink	음료수
drive	운전하다
driver	운전자
driver	운전기사
driver's license	운전면허
drop	떨어지다
drought	가뭄
drug	마약
dry	건조
dry	마르다
dry	드라이
dry cleaners, laundromat	세탁소
dual-income family	맞벌이
duck	오리
dumpling	만두
during, between	동안
dust	먼지
duty-free shop	면세점
DVD	디브이디
dyeing	염색
each	각
each, every, per	씩
each one	각자
each other, both	서로
eagerly	간절히
eagerly, diligently	부지런히
ear	귀
earlier, while ago	아까
early	일찍
earn, make money	벌다
earphone	이어폰
earrings	귀걸이
earth	지구
earthquake	지진
easily	편히
easily, anytime soon	좀처럼
east	동쪽
east coast	동해안
eastern and western	동서양
eastern, orient	동양
eastern part	동부
easy	쉽다
eat	먹다
eat (honorific form)	드시다
eat (honorific form)	잡수시다
eating habits	식습관
